"","PARID","saledate","date2","price","saleyr","SALETYPE","SALEVAL","presale","postsale","value","adj_price","lnadj_price"
"1","03H110160",2024-03-06,"03-2024",462000,2024,"2","X",2023,2025,312.107,470135.517626968,13.0607762675021
"2","03H210095",2024-05-20,"05-2024",250000,2024,"2","4",2023,2025,313.14,253563.102765536,12.4433679971332
"3","03H210233",2024-07-02,"07-2024",275000,2024,"2","X",2023,2025,313.566,278540.482705395,12.5373186875897
"4","03H320183",2024-03-04,"03-2024",365000,2024,"2","X",2023,2025,312.107,371427.411112215,12.8251087300029
"5","03H320206",2024-02-23,"02-2024",270000,2024,"2","Z",2023,2025,311.022,275713.004224782,12.5271157639256
"6","03H330014",2024-02-15,"02-2024",310000,2024,"2","X",2023,2025,311.022,316559.375221045,12.6652661024064
"7","03H330014",2024-08-08,"08-2024",170000,2024,"2","4",2023,2025,314.131,171878.961325052,12.0545457948468
"8","03H330041",2024-03-14,"03-2024",310000,2024,"2","X",2023,2025,312.107,315458.897109004,12.6617836738996
"9","03H340134",2024-01-04,"01-2024",155000,2024,"2","I",2023,2025,309.794,158907.096328528,11.9760750106121
"10","03H340134",2024-03-19,"03-2024",240000,2024,"2","X",2023,2025,312.107,244226.2429231,12.4058502997624
"11","03H340192",2024-01-25,"01-2024",217500,2024,"2","I",2023,2025,309.794,222982.538396483,12.3148487442216
"12","03H510131",2024-05-24,"05-2024",14000,2024,"1","X",2023,2025,313.14,14199.53375487,9.56096440888622
"13","03J220189",2024-10-24,"10-2024",460000,2024,"2","X",2023,2025,315.564,462972.265530922,13.0454224296131
"14","03J220332",2024-07-03,"07-2024",395000,2024,"2","X",2023,2025,313.566,400085.420613204,12.8994333548242
"15","03J320157",2024-02-13,"02-2024",340000,2024,"2","I",2023,2025,311.022,347194.153468243,12.7576394225374
"16","03J330035",2024-01-22,"01-2024",139001,2024,"2","5",2023,2025,309.794,142504.808366205,11.8671310210423
"17","03J610052",2024-07-01,"07-2024",525000,2024,"2","X",2023,2025,313.566,531759.103346664,13.1839458525147
"18","04G230084",2024-09-06,"09-2024",360000,2024,"2","X",2023,2025,314.851,363146.631263677,12.8025619745592
"19","04G410044",2024-02-23,"02-2024",3e+05,2024,"2","X",2023,2025,311.022,306347.78247198,12.6324762795834
"20","04G410110",2024-07-18,"07-2024",310000,2024,"2","I",2023,2025,313.566,313991.089595173,12.6571198874023
"21","04H140025",2024-11-19,"11-2024",450000,2024,"2","X",2023,2025,316.449,451641.022724041,13.0206429457593
"22","04H220183",2024-11-21,"11-2024",485000,2024,"2","X",2023,2025,316.449,486768.6578248,13.0955442539324
"23","04H520065",2024-07-31,"07-2024",243900,2024,"2","5",2023,2025,313.566,247040.086297622,12.417305895145
"24","04H520263",2024-01-18,"01-2024",440000,2024,"2","X",2023,2025,309.794,451091.112158402,13.0194246206052
"25","04H540140",2024-04-11,"04-2024",307500,2024,"2","X",2023,2025,313.016,312006.167416362,12.6507782339564
"26","04J120024",2024-07-01,"07-2024",379111,2024,"2","X",2023,2025,313.566,383991.857959728,12.8583766281152
"27","04J120035",2024-07-01,"07-2024",304295,2024,"2","X",2023,2025,313.566,308212.640672139,12.6385452155376
"28","04J120046",2024-05-23,"05-2024",334856,2024,"2","X",2023,2025,313.14,339628.505358626,12.7356076679374
"29","04J120079",2024-05-30,"05-2024",389891,2024,"2","X",2023,2025,313.14,395447.886801431,12.8877742921513
"30","04J120091",2024-04-08,"04-2024",337612,2024,"2","X",2023,2025,313.016,342559.434776497,12.7442004538236
"31","04J140033",2024-06-04,"06-2024",359447,2024,"2","X",2023,2025,313.131,364580.464856562,12.8065025601329
"32","04J140044",2024-02-29,"02-2024",333326,2024,"2","X",2023,2025,311.022,340378.936467517,12.7378147949992
"33","04J140055",2024-05-02,"05-2024",355403,2024,"2","X",2023,2025,313.14,360468.349648719,12.7951594361489
"34","04J140066",2024-06-03,"06-2024",387290,2024,"2","X",2023,2025,313.131,392821.106405945,12.8811095872316
"35","04J140077",2024-08-20,"08-2024",405240,2024,"2","X",2023,2025,314.131,409719.001690378,12.923226841982
"36","04J140088",2024-03-01,"03-2024",324215,2024,"2","X",2023,2025,312.107,329924.21395547,12.7066182523876
"37","04J140099",2024-02-06,"02-2024",334516,2024,"2","X",2023,2025,311.022,341594.116004656,12.7413785159375
"38","04J140101",2024-07-30,"07-2024",351312,2024,"2","X",2023,2025,313.566,355834.960218901,12.7822223074501
"39","04J210433",2024-05-31,"05-2024",380709,2024,"2","X",2023,2025,313.14,386135.021163058,12.8639423830419
"40","04J210444",2024-10-31,"10-2024",300560,2024,"2","X",2023,2025,315.564,302502.052452117,12.6198433413957
"41","04J210455",2024-08-29,"08-2024",320695,2024,"2","X",2023,2025,314.131,324239.550012574,12.6892378734792
"42","04J210466",2024-06-14,"06-2024",380715,2024,"2","X",2023,2025,313.131,386152.205131399,12.8639868845376
"43","04J210477",2024-05-01,"05-2024",459293,2024,"2","X",2023,2025,313.14,465839.032633966,13.0515954299031
"44","04J210488",2024-01-26,"01-2024",349838,2024,"2","X",2023,2025,309.794,358656.392034707,12.790120083882
"45","04J210501",2024-05-14,"05-2024",335000,2024,"2","X",2023,2025,313.14,339774.557705819,12.736037611096
"46","04J210510",2024-08-29,"08-2024",319315,2024,"2","X",2023,2025,314.131,322844.2972677,12.6849254341777
"47","04J210521",2024-08-16,"08-2024",380217,2024,"2","X",2023,2025,314.131,384419.429636044,12.85948950016
"48","04J210532",2024-04-29,"04-2024",325780,2024,"2","X",2023,2025,313.016,330554.046246837,12.7085254536393
